FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220401;0000;;;;
220402;0000;;;;
220403;0000;;;;
220404;0000;;;;
220405;0000;;;;
220406;0000;;;;
220407;0000;;;;
220408;0000;;;;
220409;0000;;;;
220410;0000;;;;
220411;0000;;;;
220412;0000;15;;;
220413;0000;27;;;
220414;0000;30;;;
220415;0000;17;;;
220416;0000;34;;;
220417;0000;38;;;
220418;0000;33;;;
220419;0000;34;;;
220420;0000;23;;;
220421;0000;30;;;
220422;0000;27;;;
220423;0000;27;;;
220424;0000;15;;;
220425;0000;10;;;
220426;0000;7;;;
220427;0000;20;;;
220428;0000;41;;;
220429;0000;46;;;
220430;0000;43;;;
220501;0000;46;;;
220502;0000;30;;;
220503;0000;44;;;
220504;0000;38;;;
220505;0000;42;;;
220506;0000;62;;;
220507;0000;53;;;
220508;0000;29;;;
220509;0000;48;;;
220510;0000;60;;;
220511;0000;61;;;
220512;0000;57;;;
220513;0000;58;;;
220514;0000;64;;;
220515;0000;65;;;
220516;0000;63;;;
220517;0000;76;;;
220518;0000;76;;;
220519;0000;39;;;
220520;0000;36;;;
220521;0000;41;;;
220522;0000;48;;;
220523;0000;22;;;
220524;0000;33;;;
220525;0000;44;;;
220526;0000;49;;;
220527;0000;78;;;
220528;0000;104;;;
220529;0000;65;;;
220530;0000;62;;;
220531;0000;58;;;
220601;0000;44;;;
220602;0000;37;;;
220603;0000;44;;;
220604;0000;15;;;
220605;0000;14;;;
220606;0000;38;;;
220607;0000;56;;;
220608;0000;53;;;
220609;0000;58;;;
220610;0000;87;;;
220611;0000;62;;;
220612;0000;72;;;
220613;0000;54;;;
220614;0000;53;;;
220615;0000;62;;;
220616;0000;47;;;
220617;0000;52;;;
220618;0000;87;;;
220619;0000;110;;;
220620;0000;82;;;
220621;0000;52;;;
220622;0000;48;;;
220623;0000;18;;;
220624;0000;44;;;
220625;0000;67;;;
220626;0000;78;;;
220627;0000;40;;;
220628;0000;38;;;
220629;0000;47;;;
220630;0000;39;;;
220701;0000;12;;;
220702;0000;39;;;
220703;0000;85;;;
220704;0000;71;;;
220705;0000;51;;;
220706;0000;44;;;
220707;0000;57;;;
220708;0000;45;;;
220709;0000;14;;;
220710;0000;9;;;
220711;0000;23;;;
220712;0000;36;;;
220713;0000;42;;;
220714;0000;12;;;
220715;0000;19;;;
220716;0000;33;;;
220717;0000;55;;;
220718;0000;56;;;
220719;0000;53;;;
220720;0000;51;;;
220721;0000;55;;;
220722;0000;57;;;
220723;0000;60;;;
220724;0000;47;;;
220725;0000;30;;;
220726;0000;31;;;
220727;0000;24;;;
220728;0000;32;;;
220729;0000;45;;;
220730;0000;37;;;
220731;0000;50;;;
220801;0000;53;;;
220802;0000;65;;;
220803;0000;50;;;
220804;0000;41;;;
220805;0000;46;;;
220806;0000;24;;;
220807;0000;10;;;
220808;0000;33;;;
220809;0000;49;;;
220810;0000;39;;;
220811;0000;38;;;
220812;0000;23;;;
220813;0000;47;;;
220814;0000;34;;;
220815;0000;7;;;
220816;0000;27;;;
220817;0000;18;;;
220818;0000;35;;;
220819;0000;52;;;
220820;0000;54;;;
220821;0000;49;;;
220822;0000;31;;;
220823;0000;56;;;
220824;0000;59;;;
220825;0000;56;;;
220826;0000;51;;;
220827;0000;33;;;
220828;0000;49;;;
220829;0000;30;;;
220830;0000;23;;;
220831;0000;19;;;
220901;0000;27;;;
220902;0000;54;;;
220903;0000;54;;;
220904;0000;53;;;
220905;0000;39;;;
220906;0000;40;;;
220907;0000;12;;;
220908;0000;10;;;
220909;0000;37;;;
220910;0000;40;;;
220911;0000;11;;;
220912;0000;30;;;
220913;0000;16;;;
220914;0000;33;;;
220915;0000;34;;;
220916;0000;17;;;
220917;0000;15;;;
220918;0000;7;;;
220919;0000;14;;;
220920;0000;9;;;
220921;0000;9;;;
220922;0000;18;;;
220923;0000;22;;;
220924;0000;12;;;
220925;0000;12;;;
220926;0000;13;;;
220927;0000;17;;;
220928;0000;17;;;
220929;0000;25;;;
220930;0000;31;;;
221001;0000;30;;;
221002;0000;22;;;
221003;0000;11;;;
221004;0000;11;;;
221005;0000;11;;;
221006;0000;16;;;
221007;0000;18;;;
221008;0000;5;;;
221009;0000;12;;;
221010;0000;12;;;
221011;0000;17;;;
221012;0000;17;;;
221013;0000;13;;;
221014;0000;17;;;
221015;0000;23;;;
221016;0000;16;;;
221017;0000;9;;;
221018;0000;10;;;
221019;0000;9;;;
221020;0000;14;;;
221021;0000;13;;;
221022;0000;14;;;
221023;0000;13;;;
221024;0000;12;;;
221025;0000;9;;;
221026;0000;9;;;
221027;0000;14;;;
221028;0000;18;;;
221029;0000;15;;;
221030;0000;8;;;
221031;0000;15;;;
221101;0000;;;;
221102;0000;;;;
221103;0000;17;;;
221104;0000;19;;;
221105;0000;15;;;
221106;0000;15;;;
221107;0000;20;;;
221108;0000;16;;;
221109;0000;9;;;
221110;0000;12;;;
221111;0000;7;;;
221112;0000;5;;;
221113;0000;8;;;
221114;0000;10;;;
221115;0000;17;;;
221116;0000;15;;;
221117;0000;16;;;
221118;0000;15;;;
221119;0000;9;;;
221120;0000;11;;;
221121;0000;13;;;
221122;0000;17;;;
221123;0000;21;;;
221124;0000;13;;;
221125;0000;15;;;
221126;0000;14;;;
221127;0000;11;;;
221128;0000;12;;;
221129;0000;12;;;
221130;0000;10;;;
221201;0000;12;;;
221202;0000;13;;;
221203;0000;13;;;
221204;0000;9;;;
221205;0000;12;;;
221206;0000;13;;;
221207;0000;14;;;
221208;0000;11;;;
221209;0000;9;;;
221210;0000;8;;;
221211;0000;10;;;
221212;0000;13;;;
221213;0000;13;;;
221214;0000;12;;;
221215;0000;32;;;
221216;0000;91;;;
221217;0000;16;;;
221218;0000;13;;;
221219;0000;10;;;
221220;0000;8;;;
221221;0000;11;;;
221222;0000;7;;;
221223;0000;10;;;
221224;0000;12;;;
221225;0000;12;;;
221226;0000;11;;;
221227;0000;14;;;
221228;0000;16;;;
221229;0000;18;;;
221230;0000;17;;;
221231;0000;14;;;
230101;0000;15;;;
230102;0000;;;;
230103;0000;;;;
230104;0000;17;;;
230105;0000;15;;;
230106;0000;12;;;
230107;0000;11;;;
230108;0000;9;;;
230109;0000;10;;;
230110;0000;9;;;
230111;0000;12;;;
230112;0000;10;;;
230113;0000;13;;;
230114;0000;10;;;
230115;0000;13;;;
230116;0000;17;;;
230117;0000;15;;;
230118;0000;18;;;
230119;0000;15;;;
230120;0000;14;;;
230121;0000;13;;;
230122;0000;13;;;
230123;0000;15;;;
230124;0000;13;;;
230125;0000;10;;;
230126;0000;10;;;
230127;0000;14;;;
230128;0000;20;;;
230129;0000;13;;;
230130;0000;11;;;
230131;0000;12;;;
230201;0000;15;;;
230202;0000;20;;;
230203;0000;26;;;
230204;0000;14;;;
230205;0000;14;;;
230206;0000;51;;;
230207;0000;73;;;
230208;0000;54;;;
230209;0000;71;;;
230210;0000;71;;;
230211;0000;42;;;
230212;0000;33;;;
230213;0000;9;;;
230214;0000;11;;;
230215;0000;15;;;
230216;0000;13;;;
230217;0000;12;;;
230218;0000;15;;;
230219;0000;11;;;
230220;0000;18;;;
230221;0000;26;;;
230222;0000;24;;;
230223;0000;23;;;
230224;0000;19;;;
230225;0000;12;;;
230226;0000;12;;;
230227;0000;15;;;
230228;0000;15;;;
230301;0000;19;;;
230302;0000;16;;;
230303;0000;14;;;
230304;0000;16;;;
230305;0000;19;;;
230306;0000;14;;;
230307;0000;13;;;
230308;0000;9;;;
230309;0000;11;;;
230310;0000;10;;;
230311;0000;8;;;
230312;0000;7;;;
230313;0000;9;;;
230314;0000;10;;;
230315;0000;12;;;
230316;0000;12;;;
230317;0000;12;;;
230318;0000;14;;;
230319;0000;16;;;
230320;0000;15;;;
230321;0000;15;;;
230322;0000;21;;;
230323;0000;27;;;
230324;0000;27;;;
230325;0000;23;;;
230326;0000;18;;;
230327;0000;21;;;
230328;0000;20;;;
230329;0000;14;;;
230330;0000;16;;;
230331;0000;19;;;
230401;0000;20;;;
230402;0000;24;;;
230403;0000;18;;;
230404;0000;17;;;
230405;0000;14;;;
230406;0000;14;;;
230407;0000;19;;;
230408;0000;17;;;
230409;0000;20;;;
230410;0000;19;;;
230411;0000;21;;;
230412;0000;11;;;
230413;0000;9;;;
230414;0000;10;;;
230415;0000;17;;;
230416;0000;18;;;
230417;0000;;;;
230418;0000;;;;
230419;0000;;;;
230420;0000;;;;
230421;0000;;;;
230422;0000;;;;
230423;0000;;;;
230424;0000;;;;
230425;0000;29;;;
230426;0000;38;;;
230427;0000;43;;;
230428;0000;32;;;
230429;0000;10;;;
230430;0000;11;;;
230501;0000;26;;;
230502;0000;29;;;
230503;0000;35;;;
230504;0000;45;;;
230505;0000;57;;;
230506;0000;64;;;
230507;0000;91;;;
230508;0000;67;;;
230509;0000;46;;;
230510;0000;47;;;
230511;0000;41;;;
230512;0000;31;;;
230513;0000;49;;;
230514;0000;44;;;
230515;0000;32;;;
230516;0000;28;;;
230517;0000;17;;;
230518;0000;29;;;
230519;0000;34;;;
230520;0000;44;;;
230521;0000;37;;;
230522;0000;27;;;
230523;0000;43;;;
230524;0000;32;;;
230525;0000;42;;;
230526;0000;28;;;
230527;0000;45;;;
230528;0000;81;;;
230529;0000;60;;;
230530;0000;66;;;
230531;0000;73;;;
230601;0000;49;;;
230602;0000;37;;;
230603;0000;34;;;
230604;0000;54;;;
230605;0000;48;;;
230606;0000;57;;;
230607;0000;57;;;
230608;0000;25;;;
230609;0000;10;;;
230610;0000;12;;;
230611;0000;29;;;
230612;0000;69;;;
230613;0000;63;;;
230614;0000;50;;;
230615;0000;57;;;
230616;0000;52;;;
230617;0000;66;;;
230618;0000;54;;;
230619;0000;45;;;
230620;0000;40;;;
230621;0000;33;;;
230622;0000;19;;;
230623;0000;19;;;
230624;0000;20;;;
230625;0000;24;;;
230626;0000;19;;;
230627;0000;24;;;
230628;0000;57;;;
230629;0000;60;;;
230630;0000;55;;;
230701;0000;48;;;
230702;0000;39;;;
230703;0000;55;;;
230704;0000;35;;;
230705;0000;28;;;
230706;0000;33;;;
230707;0000;55;;;
230708;0000;50;;;
230709;0000;39;;;
230710;0000;37;;;
230711;0000;30;;;
230712;0000;11;;;
230713;0000;36;;;
230714;0000;54;;;
230715;0000;45;;;
230716;0000;65;;;
230717;0000;78;;;
230718;0000;76;;;
230719;0000;54;;;
230720;0000;50;;;
230721;0000;24;;;
230722;0000;16;;;
230723;0000;40;;;
230724;0000;54;;;
230725;0000;37;;;
230726;0000;36;;;
230727;0000;49;;;
230728;0000;59;;;
230729;0000;49;;;
230730;0000;50;;;
230731;0000;50;;;
230801;0000;42;;;
230802;0000;39;;;
230803;0000;44;;;
230804;0000;39;;;
230805;0000;21;;;
230806;0000;27;;;
230807;0000;40;;;
230808;0000;49;;;
230809;0000;51;;;
230810;0000;7;;;
230811;0000;20;;;
230812;0000;37;;;
230813;0000;42;;;
230814;0000;26;;;
230815;0000;18;;;
230816;0000;14;;;
230817;0000;10;;;
230818;0000;19;;;
230819;0000;19;;;
230820;0000;13;;;
230821;0000;13;;;
230822;0000;4;;;
230823;0000;7;;;
230824;0000;22;;;
230825;0000;19;;;
230826;0000;34;;;
230827;0000;37;;;
230828;0000;25;;;
230829;0000;19;;;
230830;0000;14;;;
230831;0000;24;;;
230901;0000;24;;;
230902;0000;22;;;
230903;0000;16;;;
230904;0000;16;;;
230905;0000;46;;;
230906;0000;17;;;
230907;0000;12;;;
230908;0000;19;;;
230909;0000;24;;;
230910;0000;33;;;
230911;0000;5;;;
230912;0000;9;;;
230913;0000;21;;;
230914;0000;29;;;
230915;0000;25;;;
230916;0000;9;;;
230917;0000;15;;;
230918;0000;30;;;
230919;0000;35;;;
230920;0000;20;;;
230921;0000;14;;;
230922;0000;15;;;
230923;0000;28;;;
230924;0000;20;;;
230925;0000;17;;;
230926;0000;8;;;
230927;0000;19;;;
230928;0000;17;;;
230929;0000;26;;;
230930;0000;29;;;
231001;0000;15;;;
231002;0000;10;;;
231003;0000;9;;;
231004;0000;15;;;
231005;0000;13;;;
231006;0000;18;;;
231007;0000;26;;;
231008;0000;20;;;
231009;0000;21;;;
231010;0000;13;;;
231011;0000;16;;;
231012;0000;19;;;
231013;0000;22;;;
231014;0000;18;;;
231015;0000;19;;;
231016;0000;11;;;
231017;0000;22;;;
231018;0000;12;;;
231019;0000;21;;;
231020;0000;22;;;
231021;0000;23;;;
231022;0000;22;;;
231023;0000;14;;;
231024;0000;17;;;
231025;0000;19;;;
231026;0000;14;;;
231027;0000;11;;;
231028;0000;17;;;
231029;0000;6;;;
231030;0000;10;;;
231031;0000;13;;;
231101;0000;12;;;
231102;0000;16;;;
231103;0000;16;;;
231104;0000;19;;;
231105;0000;15;;;
231106;0000;14;;;
231107;0000;12;;;
231108;0000;12;;;
231109;0000;15;;;
231110;0000;9;;;
231111;0000;10;;;
231112;0000;9;;;
231113;0000;9;;;
231114;0000;13;;;
231115;0000;10;;;
231116;0000;12;;;
231117;0000;11;;;
231118;0000;21;;;
231119;0000;18;;;
231120;0000;10;;;
231121;0000;9;;;
231122;0000;11;;;
231123;0000;13;;;
231124;0000;13;;;
231125;0000;21;;;
231126;0000;14;;;
231127;0000;12;;;
231128;0000;12;;;
231129;0000;12;;;
231130;0000;15;;;
231201;0000;11;;;
231202;0000;10;;;
231203;0000;;;;
231204;0000;;;;
231205;0000;12;;;
231206;0000;15;;;
231207;0000;41;;;
231208;0000;36;;;
231209;0000;13;;;
231210;0000;25;;;
231211;0000;19;;;
231212;0000;14;;;
231213;0000;13;;;
231214;0000;13;;;
231215;0000;15;;;
231216;0000;8;;;
231217;0000;6;;;
231218;0000;9;;;
231219;0000;38;;;
231220;0000;32;;;
231221;0000;22;;;
231222;0000;17;;;
231223;0000;13;;;
231224;0000;13;;;
231225;0000;16;;;
231226;0000;17;;;
231227;0000;13;;;
231228;0000;11;;;
231229;0000;13;;;
231230;0000;10;;;
231231;0000;9;;;
240101;0000;9;;;
240102;0000;11;;;
240103;0000;17;;;
240104;0000;17;;;
240105;0000;11;;;
240106;0000;10;;;
240107;0000;6;;;
240108;0000;8;;;
240109;0000;9;;;
240110;0000;13;;;
240111;0000;13;;;
240112;0000;13;;;
240113;0000;12;;;
240114;0000;10;;;
240115;0000;11;;;
240116;0000;10;;;
240117;0000;14;;;
240118;0000;14;;;
